"","trt","date","deadm","deadf","lostm","lostf"
"1","1a-11","42541",0,0,0,0
"2","1a-14","42541",0,0,0,0
"3","1a-15","42541",0,0,0,0
"4","1a-16","42541",0,0,0,0
"5","1a-17","42541",0,0,0,0
"6","1a-18","42541",0,0,0,0
"7","1a-19","42541",0,0,0,0
"8","2b-11","42541",0,0,0,0
"9","2b-12","42541",0,0,0,0
"10","2b-13","42541",0,0,0,0
"11","2b-15","42541",0,0,0,0
"12","2b-17","42541",0,0,0,0
"13","2b-18","42541",0,0,0,0
"14","2b-19","42541",0,0,0,0
"15","3c-11","42541",0,0,0,0
"16","3c-12","42541",0,0,0,0
"17","3c-13","42541",0,0,0,0
"18","3c-14","42541",0,0,0,0
"19","3c-15","42541",0,0,0,0
"20","3c-16","42541",0,0,0,0
"21","3c-18","42541",0,0,0,0
"22","3c-19","42541",0,0,0,0
"23","4d-11","42541",0,0,0,0
"24","4d-12","42541",0,0,0,0
"25","4d-13","42541",0,0,0,0
"26","4d-14","42541",0,0,0,0
"27","4d-15","42541",0,0,0,0
"28","4d-16","42541",0,0,0,0
"29","4d-17","42541",0,0,0,0
"30","4d-18","42541",0,0,0,0
"31","4d-19","42541",0,0,0,0
"32","11c-11","42541",0,0,0,0
"33","11c-12","42541",0,0,0,0
"34","11c-13","42541",0,0,0,0
"35","11c-14","42541",0,0,0,0
"36","11c-15","42541",0,0,0,0
"37","11c-16","42541",0,0,0,0
"38","11c-17","42541",0,0,0,0
"39","11c-18","42541",0,0,0,0
"40","11c-19","42541",0,0,0,0
"41","13g-11","42541",0,0,0,0
"42","13g-12","42541",0,0,0,0
"43","13g-13","42541",0,0,0,0
"44","13g-14","42541",0,0,0,0
"45","13g-15","42541",0,0,0,0
"46","13g-16","42541",0,0,0,0
"47","13g-17","42541",0,0,0,0
"48","13g-18","42541",0,0,0,0
"49","13g-19","42541",0,0,0,0
"50","15h-11","42541",0,0,0,0
"51","15h-12","42541",0,0,0,0
"52","15h-13","42541",0,0,0,0
"53","15h-14","42541",0,0,0,0
"54","15h-15","42541",0,0,0,0
"55","15h-16","42541",0,0,0,0
"56","15h-17","42541",0,0,0,0
"57","15h-18","42541",0,0,0,0
"58","15h-19","42541",0,0,0,0
"59","16i-11","42541",0,0,0,0
"60","16i-12","42541",0,0,0,0
"61","16i-13","42541",0,0,0,0
"62","16i-15","42541",0,0,0,0
"63","16i-16","42541",0,0,0,0
"64","16i-17","42541",0,0,0,0
"65","16i-18","42541",0,0,0,0
"66","16i-19","42541",0,0,0,0
"67","28n-11","42541",0,0,0,0
"68","28n-12","42541",0,0,0,0
"69","28n-13","42541",0,0,0,0
"70","28n-14","42541",0,0,0,0
"71","28n-15","42541",0,0,0,0
"72","28n-16","42541",0,0,0,0
"73","28n-17","42541",0,0,0,0
"74","28n-18","42541",0,0,0,0
"75","28n-19","42541",0,0,0,0
"76","30p-11","42541",0,0,0,0
"77","30p-12","42541",0,0,0,0
"78","30p-13","42541",0,0,0,0
"79","30p-14","42541",0,0,0,0
"80","30p-15","42541",0,0,0,0
"81","30p-16","42541",0,0,0,0
"82","30p-17","42541",0,0,0,0
"83","30p-18","42541",0,0,0,0
"84","30p-19","42541",0,0,0,0
"85","35u-11","42541",0,0,0,0
"86","35u-12","42541",0,0,0,0
"87","35u-13","42541",0,0,0,0
"88","35u-15","42541",0,0,0,0
"89","35u-16","42541",0,0,0,0
"90","35u-17","42541",0,0,0,0
"91","35u-18","42541",0,0,0,0
"92","35u-19","42541",0,0,0,0
"93","70j-11","42541",0,0,0,0
"94","70j-12","42541",0,0,0,0
"95","70j-13","42541",0,0,0,0
"96","70j-14","42541",0,0,0,0
"97","70j-15","42541",0,0,0,0
"98","70j-16","42541",0,0,0,0
"99","70j-17","42541",0,0,0,0
"100","70j-19","42541",0,0,0,0
"101","71k-11","42541",0,0,0,0
"102","71k-12","42541",0,0,0,0
"103","71k-13","42541",0,0,0,0
"104","71k-14","42541",0,0,0,0
"105","71k-15","42541",0,0,0,0
"106","71k-16","42541",0,0,0,0
"107","71k-17","42541",0,0,0,0
"108","71k-18","42541",0,0,0,0
"109","71k-19","42541",0,0,0,0
"110","75o-12","42541",0,0,0,0
"111","75o-13","42541",0,0,0,0
"112","75o-14","42541",0,0,0,0
"113","75o-15","42541",0,0,0,0
"114","75o-16","42541",0,0,0,0
"115","75o-17","42541",0,0,0,0
"116","75o-18","42541",0,0,0,0
"117","75o-19","42541",0,0,0,0
"118","GDH-11","42541",0,0,0,0
"119","GDH-12","42541",0,0,0,0
"120","GDH-13","42541",0,0,0,0
"121","GDH-14","42541",0,0,0,0
"122","GDH-15","42541",0,0,0,0
"123","GDH-16","42541",0,0,0,0
"124","GDH-17","42541",0,0,0,0
"125","GDH-18","42541",0,0,0,0
"126","GDH-19","42541",0,0,0,0
"127","GNDH-11","42541",0,0,0,0
"128","GNDH-12","42541",0,0,0,0
"129","GNDH-13","42541",0,0,0,0
"130","GNDH-14","42541",0,0,0,0
"131","GNDH-15","42541",0,0,0,0
"132","GNDH-16","42541",0,0,0,0
"133","GNDH-17","42541",0,0,0,0
"134","GNDH-18","42541",0,0,0,0
"135","GNDH-19","42541",0,0,0,0
"136","SDR-11","42541",0,0,0,0
"137","SDR-12","42541",0,0,0,0
"138","SDR-13","42541",0,0,0,0
"139","SDR-14","42541",0,0,0,0
"140","SDR-15","42541",0,0,0,0
"141","SDR-16","42541",0,0,0,0
"142","SDR-17","42541",0,0,0,0
"143","SDR-18","42541",0,0,0,0
"144","SDR-19","42541",0,0,0,0
"145","PVEC-11","42541",0,0,0,0
"146","PVEC-12","42541",0,0,0,0
"147","PVEC-13","42541",0,0,0,0
"148","PVEC-14","42541",0,0,0,0
"149","PVEC-15","42541",0,0,0,0
"150","PVEC-16","42541",0,0,0,0
"151","PVEC-17","42541",0,0,0,0
"152","PVEC-18","42541",0,0,0,0
"153","PVEC-19","42541",0,0,0,0
"154","Lgno-12","42541",0,0,0,0
"155","Lgno-13","42541",0,0,0,0
"156","Lgno-14","42541",0,0,0,0
"157","Ax-13","42541",0,0,0,0
"158","Ax-14","42541",0,0,0,0
"159","Ax-16","42541",0,0,0,0
"160","Ax-18","42541",0,0,0,0
"161","Gno-11","42541",0,0,0,0
"162","Gno-12","42541",0,0,0,0
"163","Gno-13","42541",0,0,0,0
"164","Gno-14","42541",0,0,0,0
"165","Gno-15","42541",0,0,0,0
"166","Gno-16","42541",0,0,0,0
"167","Gno-17","42541",0,0,0,0
"168","Gno-18","42541",0,0,0,0
"169","Gno-19","42541",0,0,0,0
"170","7636-11","42541",0,0,0,0
"171","7636-12","42541",0,0,0,0
"172","7636-14","42541",0,0,0,0
"173","7636-15","42541",0,0,0,0
"174","7636-16","42541",0,0,0,0
"175","7636-17","42541",0,0,0,0
"176","7636-19","42541",0,0,0,0
"177","10862-11","42541",0,0,0,0
"178","10862-12","42541",0,0,0,0
"179","10862-13","42541",0,0,0,0
"180","10862-14","42541",0,0,0,0
"181","10862-15","42541",0,0,0,0
"182","10862-16","42541",0,0,0,0
"183","10862-17","42541",0,0,0,0
"184","10862-18","42541",0,0,0,0
"185","10862-19","42541",0,0,0,0
"186","1a-11","42542",0,0,0,0
"187","1a-14","42542",0,0,0,0
"188","1a-15","42542",0,0,0,0
"189","1a-16","42542",0,0,0,0
"190","1a-17","42542",0,0,0,0
"191","1a-18","42542",0,0,0,0
"192","1a-19","42542",0,0,0,0
"193","2b-11","42542",0,0,0,0
"194","2b-12","42542",0,0,0,0
"195","2b-13","42542",0,0,0,0
"196","2b-15","42542",0,0,0,0
"197","2b-17","42542",0,0,0,0
"198","2b-18","42542",0,0,0,0
"199","2b-19","42542",0,0,0,0
"200","3c-11","42542",0,0,0,0
"201","3c-12","42542",0,0,0,0
"202","3c-13","42542",0,0,0,0
"203","3c-14","42542",0,0,0,0
"204","3c-15","42542",0,0,0,0
"205","3c-16","42542",0,0,0,0
"206","3c-18","42542",0,0,0,0
"207","3c-19","42542",0,0,0,0
"208","4d-11","42542",0,0,0,0
"209","4d-12","42542",0,0,0,0
"210","4d-13","42542",0,0,0,0
"211","4d-14","42542",0,0,0,0
"212","4d-15","42542",0,0,0,0
"213","4d-16","42542",0,0,0,0
"214","4d-17","42542",0,0,0,0
"215","4d-18","42542",0,0,0,0
"216","4d-19","42542",0,0,0,0
"217","11c-11","42542",0,0,0,0
"218","11c-12","42542",0,1,0,0
"219","11c-13","42542",0,0,0,0
"220","11c-14","42542",0,0,0,0
"221","11c-15","42542",0,0,0,0
"222","11c-16","42542",0,0,0,0
"223","11c-17","42542",0,0,0,0
"224","11c-18","42542",0,0,0,0
"225","11c-19","42542",0,0,0,0
"226","13g-11","42542",0,0,0,0
"227","13g-12","42542",0,0,0,0
"228","13g-13","42542",2,2,0,0
"229","13g-14","42542",0,0,0,0
"230","13g-15","42542",0,0,0,0
"231","13g-16","42542",0,1,0,0
"232","13g-17","42542",0,0,0,0
"233","13g-18","42542",0,0,0,0
"234","13g-19","42542",0,0,0,0
"235","15h-11","42542",0,0,0,0
"236","15h-12","42542",0,1,0,0
"237","15h-13","42542",0,0,0,0
"238","15h-14","42542",0,0,0,0
"239","15h-15","42542",0,0,0,0
"240","15h-16","42542",0,1,0,0
"241","15h-17","42542",0,0,0,0
"242","15h-18","42542",0,0,0,0
"243","15h-19","42542",0,0,0,0
"244","16i-11","42542",0,0,0,0
"245","16i-12","42542",0,0,0,0
"246","16i-13","42542",0,0,0,0
"247","16i-15","42542",0,2,0,0
"248","16i-16","42542",0,2,0,0
"249","16i-17","42542",0,0,0,0
"250","16i-18","42542",0,0,0,0
"251","16i-19","42542",0,0,0,0
"252","28n-11","42542",0,0,0,0
"253","28n-12","42542",0,0,0,0
"254","28n-13","42542",0,0,0,0
"255","28n-14","42542",0,0,0,0
"256","28n-15","42542",0,0,0,0
"257","28n-16","42542",0,0,0,0
"258","28n-17","42542",0,0,0,0
"259","28n-18","42542",0,0,0,0
"260","28n-19","42542",0,0,0,0
"261","30p-11","42542",0,0,0,0
"262","30p-12","42542",0,0,0,0
"263","30p-13","42542",0,0,0,0
"264","30p-14","42542",0,0,0,0
"265","30p-15","42542",0,0,0,0
"266","30p-16","42542",0,0,0,0
"267","30p-17","42542",0,0,0,0
"268","30p-18","42542",0,0,0,0
"269","30p-19","42542",0,0,0,0
"270","35u-11","42542",0,0,0,0
"271","35u-12","42542",0,0,0,0
"272","35u-13","42542",0,0,0,0
"273","35u-15","42542",0,0,0,0
"274","35u-16","42542",0,0,0,0
"275","35u-17","42542",0,0,0,0
"276","35u-18","42542",0,0,0,0
"277","35u-19","42542",0,0,0,0
"278","70j-11","42542",0,0,0,0
"279","70j-12","42542",0,0,0,0
"280","70j-13","42542",0,0,0,0
"281","70j-14","42542",0,0,0,0
"282","70j-15","42542",0,0,0,0
"283","70j-16","42542",0,0,0,0
"284","70j-17","42542",0,0,0,0
"285","70j-19","42542",0,0,0,0
"286","71k-11","42542",0,0,0,0
"287","71k-12","42542",0,0,0,0
"288","71k-13","42542",0,1,0,0
"289","71k-14","42542",0,0,0,0
"290","71k-15","42542",0,0,0,0
"291","71k-16","42542",0,0,0,0
"292","71k-17","42542",0,0,0,0
"293","71k-18","42542",0,0,0,0
"294","71k-19","42542",0,0,0,0
"295","75o-12","42542",0,0,0,0
"296","75o-13","42542",0,0,0,0
"297","75o-14","42542",0,0,0,0
"298","75o-15","42542",0,0,0,0
"299","75o-16","42542",0,0,0,0
"300","75o-17","42542",0,0,0,0
"301","75o-18","42542",0,0,0,0
"302","75o-19","42542",0,0,0,0
"303","GDH-11","42542",0,9,0,0
"304","GDH-12","42542",0,4,0,0
"305","GDH-13","42542",0,3,0,0
"306","GDH-14","42542",0,0,0,0
"307","GDH-15","42542",0,0,0,0
"308","GDH-16","42542",0,0,0,0
"309","GDH-17","42542",0,0,0,0
"310","GDH-18","42542",0,0,0,0
"311","GDH-19","42542",0,0,0,0
"312","GNDH-11","42542",0,0,0,0
"313","GNDH-12","42542",0,3,0,0
"314","GNDH-13","42542",0,1,0,0
"315","GNDH-14","42542",0,0,0,0
"316","GNDH-15","42542",0,0,0,0
"317","GNDH-16","42542",0,4,0,0
"318","GNDH-17","42542",0,0,0,0
"319","GNDH-18","42542",0,0,0,0
"320","GNDH-19","42542",0,0,0,0
"321","SDR-11","42542",0,0,0,0
"322","SDR-12","42542",0,2,0,0
"323","SDR-13","42542",0,0,0,0
"324","SDR-14","42542",0,0,0,0
"325","SDR-15","42542",0,0,0,0
"326","SDR-16","42542",0,0,0,0
"327","SDR-17","42542",0,0,0,0
"328","SDR-18","42542",0,0,0,0
"329","SDR-19","42542",0,0,0,0
"330","PVEC-11","42542",0,1,0,0
"331","PVEC-12","42542",0,1,0,0
"332","PVEC-13","42542",0,0,0,0
"333","PVEC-14","42542",0,0,0,0
"334","PVEC-15","42542",0,1,0,0
"335","PVEC-16","42542",0,0,0,0
"336","PVEC-17","42542",0,0,0,0
"337","PVEC-18","42542",0,0,0,0
"338","PVEC-19","42542",0,0,0,0
"339","Lgno-12","42542",0,0,0,0
"340","Lgno-13","42542",0,1,0,0
"341","Lgno-14","42542",0,0,0,0
"342","Ax-13","42542",0,0,0,0
"343","Ax-14","42542",0,1,0,0
"344","Ax-16","42542",0,0,0,0
"345","Ax-18","42542",0,0,0,0
"346","Gno-11","42542",0,0,0,0
"347","Gno-12","42542",0,0,0,0
"348","Gno-13","42542",0,1,0,0
"349","Gno-14","42542",0,0,0,0
"350","Gno-15","42542",0,0,0,0
"351","Gno-16","42542",0,0,0,0
"352","Gno-17","42542",0,0,0,0
"353","Gno-18","42542",0,0,0,0
"354","Gno-19","42542",0,0,0,0
"355","7636-11","42542",0,0,0,0
"356","7636-12","42542",0,0,0,0
"357","7636-14","42542",0,0,0,0
"358","7636-15","42542",0,0,0,0
"359","7636-16","42542",0,0,0,0
"360","7636-17","42542",0,0,0,0
"361","7636-19","42542",0,0,0,0
"362","10862-11","42542",0,0,0,0
"363","10862-12","42542",0,1,0,0
"364","10862-13","42542",0,1,0,0
"365","10862-14","42542",0,0,0,0
"366","10862-15","42542",0,0,0,0
"367","10862-16","42542",0,0,0,0
"368","10862-17","42542",0,0,0,0
"369","10862-18","42542",0,0,0,0
"370","10862-19","42542",0,0,0,0
"371","1a-11","42544",0,1,0,0
"372","1a-14","42544",0,1,0,0
"373","1a-15","42544",1,1,0,0
"374","1a-16","42544",0,0,0,0
"375","1a-17","42544",0,0,0,0
"376","1a-18","42544",0,0,0,0
"377","1a-19","42544",0,0,0,0
"378","2b-11","42544",0,0,0,0
"379","2b-12","42544",0,0,0,0
"380","2b-13","42544",1,0,0,0
"381","2b-15","42544",0,0,0,0
"382","2b-17","42544",0,0,0,0
"383","2b-18","42544",0,0,0,0
"384","2b-19","42544",0,0,0,0
"385","3c-11","42544",0,1,0,0
"386","3c-12","42544",0,0,0,0
"387","3c-13","42544",0,0,0,0
"388","3c-14","42544",0,0,0,0
"389","3c-15","42544",0,0,0,0
"390","3c-16","42544",0,0,0,0
"391","3c-18","42544",0,0,0,0
"392","3c-19","42544",0,0,0,0
"393","4d-11","42544",0,0,0,0
"394","4d-12","42544",0,0,0,0
"395","4d-13","42544",0,1,0,0
"396","4d-14","42544",0,0,0,0
"397","4d-15","42544",0,0,0,0
"398","4d-16","42544",1,0,0,0
"399","4d-17","42544",0,0,0,0
"400","4d-18","42544",0,0,0,0
"401","4d-19","42544",0,0,0,0
"402","11c-11","42544",0,0,0,0
"403","11c-12","42544",0,0,0,0
"404","11c-13","42544",1,0,0,0
"405","11c-14","42544",1,0,0,0
"406","11c-15","42544",0,0,0,0
"407","11c-16","42544",0,0,0,0
"408","11c-17","42544",0,0,0,0
"409","11c-18","42544",0,0,0,0
"410","11c-19","42544",0,0,0,0
"411","13g-11","42544",0,1,0,0
"412","13g-12","42544",0,0,0,0
"413","13g-13","42544",0,0,0,0
"414","13g-14","42544",0,0,0,0
"415","13g-15","42544",0,0,0,0
"416","13g-16","42544",0,0,0,0
"417","13g-17","42544",0,0,0,0
"418","13g-18","42544",0,0,0,0
"419","13g-19","42544",0,0,0,0
"420","15h-11","42544",0,0,0,0
"421","15h-12","42544",0,0,0,0
"422","15h-13","42544",1,1,0,0
"423","15h-14","42544",0,1,0,0
"424","15h-15","42544",0,1,0,0
"425","15h-16","42544",0,0,0,0
"426","15h-17","42544",0,0,0,0
"427","15h-18","42544",0,0,0,0
"428","15h-19","42544",0,0,0,0
"429","16i-11","42544",0,2,0,0
"430","16i-12","42544",0,3,0,0
"431","16i-13","42544",1,0,0,0
"432","16i-15","42544",0,3,0,0
"433","16i-16","42544",1,0,0,0
"434","16i-17","42544",0,0,0,0
"435","16i-18","42544",0,0,0,0
"436","16i-19","42544",0,0,0,0
"437","28n-11","42544",0,0,0,0
"438","28n-12","42544",1,0,0,0
"439","28n-13","42544",0,0,0,0
"440","28n-14","42544",0,0,0,0
"441","28n-15","42544",0,0,0,0
"442","28n-16","42544",0,0,0,0
"443","28n-17","42544",0,0,0,0
"444","28n-18","42544",0,0,0,0
"445","28n-19","42544",0,0,0,0
"446","30p-11","42544",0,0,0,0
"447","30p-12","42544",0,0,0,0
"448","30p-13","42544",0,0,0,0
"449","30p-14","42544",0,0,0,0
"450","30p-15","42544",0,0,0,0
"451","30p-16","42544",0,0,0,0
"452","30p-17","42544",0,0,0,0
"453","30p-18","42544",0,0,0,0
"454","30p-19","42544",0,0,0,0
"455","35u-11","42544",0,0,0,0
"456","35u-12","42544",1,0,0,0
"457","35u-13","42544",0,0,0,0
"458","35u-15","42544",0,0,0,0
"459","35u-16","42544",0,1,0,0
"460","35u-17","42544",0,0,0,0
"461","35u-18","42544",0,0,0,0
"462","35u-19","42544",0,0,0,0
"463","70j-11","42544",0,0,0,0
"464","70j-12","42544",0,0,0,0
"465","70j-13","42544",0,0,0,0
"466","70j-14","42544",0,0,0,0
"467","70j-15","42544",0,0,0,0
"468","70j-16","42544",0,0,0,0
"469","70j-17","42544",0,0,0,0
"470","70j-19","42544",0,0,0,0
"471","71k-11","42544",0,0,0,0
"472","71k-12","42544",0,0,0,0
"473","71k-13","42544",0,0,0,0
"474","71k-14","42544",0,0,0,0
"475","71k-15","42544",0,0,0,0
"476","71k-16","42544",0,0,0,0
"477","71k-17","42544",0,0,0,0
"478","71k-18","42544",0,0,0,0
"479","71k-19","42544",0,0,0,0
"480","75o-12","42544",0,0,0,0
"481","75o-13","42544",0,0,0,0
"482","75o-14","42544",0,0,0,0
"483","75o-15","42544",0,0,0,0
"484","75o-16","42544",0,0,0,0
"485","75o-17","42544",0,0,0,0
"486","75o-18","42544",0,0,0,0
"487","75o-19","42544",0,0,0,0
"488","GDH-11","42544",0,0,0,0
"489","GDH-12","42544",0,0,0,0
"490","GDH-13","42544",0,0,0,0
"491","GDH-14","42544",0,0,0,0
"492","GDH-15","42544",1,4,0,0
"493","GDH-16","42544",1,1,0,0
"494","GDH-17","42544",0,0,0,0
"495","GDH-18","42544",0,0,0,0
"496","GDH-19","42544",0,0,0,0
"497","GNDH-11","42544",2,7,0,0
"498","GNDH-12","42544",0,1,0,0
"499","GNDH-13","42544",0,0,0,0
"500","GNDH-14","42544",0,4,0,0
"501","GNDH-15","42544",2,9,0,0
"502","GNDH-16","42544",0,0,0,0
"503","GNDH-17","42544",0,0,0,0
"504","GNDH-18","42544",0,0,0,0
"505","GNDH-19","42544",0,0,0,0
"506","SDR-11","42544",0,0,0,0
"507","SDR-12","42544",1,7,0,0
"508","SDR-13","42544",0,1,0,0
"509","SDR-14","42544",0,1,0,0
"510","SDR-15","42544",0,0,0,0
"511","SDR-16","42544",0,0,0,0
"512","SDR-17","42544",0,0,0,0
"513","SDR-18","42544",0,0,0,0
"514","SDR-19","42544",0,0,0,0
"515","PVEC-11","42544",1,9,0,0
"516","PVEC-12","42544",2,8,0,0
"517","PVEC-13","42544",0,0,0,0
"518","PVEC-14","42544",0,4,0,0
"519","PVEC-15","42544",1,5,0,0
"520","PVEC-16","42544",0,0,0,0
"521","PVEC-17","42544",0,0,0,0
"522","PVEC-18","42544",0,0,0,0
"523","PVEC-19","42544",0,0,0,0
"524","Lgno-12","42544",0,0,0,0
"525","Lgno-13","42544",0,0,0,0
"526","Lgno-14","42544",0,0,0,0
"527","Ax-13","42544",0,0,0,0
"528","Ax-14","42544",0,0,0,0
"529","Ax-16","42544",0,0,0,0
"530","Ax-18","42544",0,0,0,0
"531","Gno-11","42544",0,0,0,0
"532","Gno-12","42544",0,0,0,0
"533","Gno-13","42544",0,0,0,0
"534","Gno-14","42544",0,0,0,0
"535","Gno-15","42544",0,0,0,0
"536","Gno-16","42544",1,1,0,0
"537","Gno-17","42544",0,0,0,0
"538","Gno-18","42544",0,0,0,0
"539","Gno-19","42544",0,0,0,0
"540","7636-11","42544",1,0,0,0
"541","7636-12","42544",0,0,0,0
"542","7636-14","42544",0,1,0,0
"543","7636-15","42544",0,0,0,0
"544","7636-16","42544",0,0,0,0
"545","7636-17","42544",0,0,0,0
"546","7636-19","42544",0,0,0,0
"547","10862-11","42544",0,0,0,0
"548","10862-12","42544",1,2,0,0
"549","10862-13","42544",0,0,0,0
"550","10862-14","42544",1,0,0,0
"551","10862-15","42544",0,0,0,0
"552","10862-16","42544",0,0,0,0
"553","10862-17","42544",0,0,0,0
"554","10862-18","42544",0,0,0,0
"555","10862-19","42544",0,0,0,0
"556","1a-11","42545",0,0,0,0
"557","1a-14","42545",0,0,0,0
"558","1a-15","42545",1,0,0,0
"559","1a-16","42545",0,0,0,0
"560","1a-17","42545",0,0,0,0
"561","1a-18","42545",0,0,0,0
"562","1a-19","42545",0,0,0,0
"563","2b-11","42545",0,1,0,3
"564","2b-12","42545",0,0,0,0
"565","2b-13","42545",0,0,0,0
"566","2b-15","42545",0,0,0,0
"567","2b-17","42545",0,0,0,0
"568","2b-18","42545",0,0,0,0
"569","2b-19","42545",0,0,0,0
"570","3c-11","42545",0,0,0,0
"571","3c-12","42545",0,0,0,0
"572","3c-13","42545",0,0,0,2
"573","3c-14","42545",0,0,0,0
"574","3c-15","42545",0,0,0,0
"575","3c-16","42545",0,0,1,0
"576","3c-18","42545",0,0,0,0
"577","3c-19","42545",0,0,0,0
"578","4d-11","42545",0,0,0,0
"579","4d-12","42545",0,0,0,0
"580","4d-13","42545",0,0,0,0
"581","4d-14","42545",0,0,0,0
"582","4d-15","42545",0,0,0,0
"583","4d-16","42545",0,1,0,0
"584","4d-17","42545",0,0,1,1
"585","4d-18","42545",0,0,0,0
"586","4d-19","42545",0,0,0,0
"587","11c-11","42545",0,0,0,0
"588","11c-12","42545",0,0,0,0
"589","11c-13","42545",0,0,0,0
"590","11c-14","42545",0,2,0,0
"591","11c-15","42545",0,0,0,0
"592","11c-16","42545",0,0,0,0
"593","11c-17","42545",0,0,0,0
"594","11c-18","42545",0,0,0,0
"595","11c-19","42545",0,0,0,0
"596","13g-11","42545",0,0,0,0
"597","13g-12","42545",0,0,0,1
"598","13g-13","42545",0,0,0,0
"599","13g-14","42545",0,0,0,0
"600","13g-15","42545",0,0,0,0
"601","13g-16","42545",0,0,0,0
"602","13g-17","42545",1,0,0,1
"603","13g-18","42545",1,0,0,1
"604","13g-19","42545",0,0,0,0
"605","15h-11","42545",0,0,0,0
"606","15h-12","42545",0,0,0,0
"607","15h-13","42545",0,0,0,0
"608","15h-14","42545",0,0,0,0
"609","15h-15","42545",0,0,0,0
